roi,coefficient,abs_coefficient,rank
LEFT_HIPPOCAMPUS_SUVR,-0.16861955637350504,0.16861955637350504,1
RIGHT_PALLIDUM_SUVR,-0.06606818206518639,0.06606818206518639,2
CTX_RH_ENTORHINAL_SUVR,-0.06066492614407868,0.06066492614407868,3
CTX_LH_FUSIFORM_SUVR,0.05812301927862713,0.05812301927862713,4
LEFT_PUTAMEN_SUVR,0.05096804576895243,0.05096804576895243,5
LEFT_AMYGDALA_SUVR,0.047732713674608435,0.047732713674608435,6
CTX_LH_LINGUAL_SUVR,0.04233323677402281,0.04233323677402281,7
CTX_LH_TRANSVERSETEMPORAL_SUVR,0.04217633683428868,0.04217633683428868,8
LEFT_ACCUMBENS_AREA_SUVR,0.026141809379540568,0.026141809379540568,9
